ID,NAME,LAT,LONG,ELEVATION
2729,pcp-81.58_46.958,46.958,-81.58,467
2730,pcp-81.497_46.958,46.958,-81.497,405
2731,pcp-81.414_46.958,46.958,-81.414,480
2732,pcp-81.33_46.958,46.958,-81.33,436
2733,pcp-81.247_46.958,46.958,-81.247,417
2734,pcp-81.164_46.958,46.958,-81.164,465
2735,pcp-81.08_46.958,46.958,-81.08,374
2736,pcp-80.997_46.958,46.958,-80.997,430
2737,pcp-80.914_46.958,46.958,-80.914,400
2738,pcp-80.83_46.958,46.958,-80.83,375
2739,pcp-80.747_46.958,46.958,-80.747,320
2740,pcp-80.664_46.958,46.958,-80.664,316
2741,pcp-80.58_46.958,46.958,-80.58,311
2742,pcp-80.497_46.958,46.958,-80.497,297
2743,pcp-80.414_46.958,46.958,-80.414,278
2744,pcp-80.33_46.958,46.958,-80.33,336
2745,pcp-80.247_46.958,46.958,-80.247,316
2746,pcp-80.164_46.958,46.958,-80.164,326
2747,pcp-80.08_46.958,46.958,-80.08,293
2748,pcp-79.997_46.958,46.958,-79.997,307
2826,pcp-83.414_46.875,46.875,-83.414,452
2827,pcp-83.33_46.875,46.875,-83.33,348
2828,pcp-83.247_46.875,46.875,-83.247,416
2829,pcp-83.164_46.875,46.875,-83.164,403
2830,pcp-83.08_46.875,46.875,-83.08,423
2831,pcp-82.997_46.875,46.875,-82.997,455
2832,pcp-82.914_46.875,46.875,-82.914,434
2833,pcp-82.83_46.875,46.875,-82.83,468
2834,pcp-82.747_46.875,46.875,-82.747,450
2835,pcp-82.664_46.875,46.875,-82.664,437
2836,pcp-82.58_46.875,46.875,-82.58,464
2837,pcp-82.497_46.875,46.875,-82.497,539
2838,pcp-82.414_46.875,46.875,-82.414,467
2839,pcp-82.33_46.875,46.875,-82.33,491
2840,pcp-82.247_46.875,46.875,-82.247,521
2841,pcp-82.164_46.875,46.875,-82.164,483
2842,pcp-82.08_46.875,46.875,-82.08,447
2843,pcp-81.997_46.875,46.875,-81.997,438
2844,pcp-81.914_46.875,46.875,-81.914,418
2845,pcp-81.83_46.875,46.875,-81.83,387
2846,pcp-81.747_46.875,46.875,-81.747,373
2847,pcp-81.664_46.875,46.875,-81.664,428
2848,pcp-81.58_46.875,46.875,-81.58,405
2849,pcp-81.497_46.875,46.875,-81.497,451
2850,pcp-81.414_46.875,46.875,-81.414,418
2851,pcp-81.33_46.875,46.875,-81.33,417
2852,pcp-81.247_46.875,46.875,-81.247,443
2853,pcp-81.164_46.875,46.875,-81.164,419
2854,pcp-81.08_46.875,46.875,-81.08,392
2855,pcp-80.997_46.875,46.875,-80.997,338
2856,pcp-80.914_46.875,46.875,-80.914,369
2857,pcp-80.83_46.875,46.875,-80.83,348
2858,pcp-80.747_46.875,46.875,-80.747,335
2859,pcp-80.664_46.875,46.875,-80.664,443
2860,pcp-80.58_46.875,46.875,-80.58,307
2861,pcp-80.497_46.875,46.875,-80.497,299
2862,pcp-80.414_46.875,46.875,-80.414,296
2863,pcp-80.33_46.875,46.875,-80.33,277
